// @todo 只放單純轉換異體字 並且不需要考慮前後文
// 格式: 正字或偏好字,錯字或同義字,...more

這裡,這里
那裡,那里

暗地裏,暗地里,暗地裡

拖後腿,拖后腿

後裔,后裔
後代,后代

午後,午后

落後,落后

後領,后領
後领,后领

後背,后背
裡外,里外

裏層,里層,裡層
裏层,里层,裡层

頭髮,頭發,頭发
头髮,头发

裏社會,里社會,裡社會
裏社会,里社会,裡社会

夜裡,夜里

枝幹,枝干
樹幹,樹干
树幹,树干

後者,后者
後事,后事

後记,后记
後記,后記

後遺症,后遺症
後遗症,后遗症

而後,而后

後院,后院
後巷,后巷

後嗣,后嗣

家裏蹲,家里蹲

麵包,面包

鱼麵包,鱼面包
魚麵包,魚面包

麵包粉,面包粉
麵包屑,面包屑
小麵包,小面包
烤麵包,烤面包
麵包店,面包店
吐司麵包,吐司面包
黑麵包,黑面包

黃油麵包,黃油面包
黄油麵包,黄油面包

長麵包,長面包
长麵包,长面包

意麵,意面

幕後,幕后

放鬆,放松
肉鬆,肉松

歷史,历史,暦史,曆史

製作出,制作出

厲害,厉害

經歷,經历
经歷,经历

什麼,什么
那麼多,那么多
那麼,那么

不怎麼,不怎么
怎麼,怎么

怎麼会,怎么会
怎麼办,怎么办
怎麼样,怎么样
怎麼着,怎么着
怎麼说,怎么说

怎麼會,怎么會
怎麼辦,怎么辦
怎麼樣,怎么樣
怎麼著,怎么著
怎麼說,怎么說

这麼,这么
这麼些,这么些
这麼帅,这么帅
这麼样,这么样
这麼着,这么着

这麼帥,这么帥
这麼樣,这么樣
这麼著,这么著

这麼一来,这么一来
这麼一來,这么一來

這麼,這么
這麼些,這么些
這麼帅,這么帅
這麼样,這么样
這麼着,這么着

這麼帥,這么帥
這麼樣,這么樣
這麼著,這么著

什麼的,什么的

這麼一来,這么一来
這麼一來,這么一來

战鬥,战斗
戰鬥,戰斗
戦鬥,戦斗
战鬥力,战斗力
戰鬥力,戰斗力
戦鬥力,戦斗力

决鬥,决斗
決鬥,決斗

劍闘,劍斗
剑闘,剑斗
剣闘,剣斗

兒子,儿子
女兒,女儿

小不点兒,小不点儿
小不點兒,小不點儿

捲毛,卷毛

復仇,复仇

傢伙,家伙
那傢伙,那家伙

呻吟,申吟

大傢伙,大家伙
大傢伙兒,大家伙兒,大家伙儿
笨傢伙,笨家伙
那傢伙,那家伙
老傢伙,老家伙
小傢伙,小家伙

大傢夥,大家夥
大傢夥兒,大家夥兒,大家夥儿
笨傢夥,笨家夥
那傢夥,那家夥
老傢夥,老家夥
小傢夥,小家夥

修復,修复

康復,康复

闘技場,斗技場
闘技,斗技
格闘,格斗
格闘賽,格斗賽
格闘赛,格斗赛
格闘技,格斗技

争鬥,争斗
爭鬥,爭斗

競争对手,竞争对手
競争対手,竞争対手
競争對手,竞争對手
競爭对手,竞爭对手
競爭対手,竞爭対手
競爭對手,竞爭對手

奴隷,奴隶

準決賽,准决賽,准決賽,準决賽,準决賽
準决赛,準決赛,准決赛,準决赛,准决赛

大亂鬥,大亂斗
亂鬥,亂斗

大乱鬥,大乱斗
乱鬥,乱斗

歷屆,历屆
歷届,历届

幹部,干部
幹部人事,干部人事
幹部科,干部科
幹部管理,干部管理

变本加厲,变本加厉
變本加厲,變本加厉

恢復,恢复
重複,重复

兒媳,儿媳

複杂,复杂
複雜,复雜

平復,平复

復甦,复甦,复苏,復苏
復蘇,复蘇

见幾而作,见几而作
見幾而作,見几而作

幾不欲生,几不欲生
幾乎没有,几乎没有
幾天来,几天来
幾天來,几天來
幾文钱,几文钱
幾文錢,几文錢
幾乎,几乎

幾个,几个
幾個,几個

幾个月,几个月
幾個月,几個月

幾代,几代
幾倍,几倍
幾分,几分
幾天,几天
幾岁,几岁
幾歳,几歳
幾年,几年
幾样,几样
幾案,几案
幾次,几次
幾名,几名
幾只,几只
幾隻,几隻
幾支,几支
第幾,第几

好幾,好几
好幾次,好几次

幾个人,几个人
幾個人,几個人

幾十,几十
十幾,十几

幾万,几万
幾萬,几萬
幾千,几千
幾百,几百

幾条,几条

十幾年来,十几年来
十幾年來,十几年來

幾十年,几十年
幾十年來,几十年來
幾十年来,几十年来

乾净,干净
乾净利落,干净利落

乾淨,干淨
乾淨利落,干淨利落

幹劲,干劲
幹劲儿,干劲儿
幹劲十足,干劲十足

幹勁,干勁
幹勁儿,干勁儿
幹勁十足,干勁十足

乾杯,干杯
乾涸,干涸

前後,前后
前後一致,前后一致

勉强,免强
勉強,免強

幹什么,干什么,干什麼
想幹什麼,想干什么,想干什麼,想幹什么

後塵,后塵
後尘,后尘

競争,竞争

關係,關系
關係学,關系学
關係學,關系學
關係式,關系式
關係户,關系户
關係网,關系网
關係網,關系網

關係到,關系到


关係,关系
关係学,关系学
关係學,关系學
关係式,关系式
关係户,关系户
关係网,关系网
关係網,关系網

关係到,关系到

等同於,等同于
等於,等于

對於,對于
对於,对于
対於,対于
由於,由于

終於,終于
终於,终于

託付,托付

鍊金,煉金,炼金
鍊金術,練金術,煉金術,炼金術,练金術
鍊金术,練金术,煉金术,炼金术,练金术

鍊金術師,練金術師,练金術師,煉金術師,炼金術師
鍊金术师,練金术师,练金术师,煉金术师,炼金术师
鍊金術师,練金術师,练金術师,煉金術师,炼金術师
鍊金术師,練金术師,练金术師,煉金术師,炼金术師

裏側,裡側,里側
裏侧,裡侧,里侧

背地裏,背地里,背地裡

輕鬆,輕松
轻鬆,轻松

輕輕鬆鬆,輕輕松松,輕輕鬆松,輕輕松鬆
轻轻鬆鬆,轻轻松松,轻轻鬆松,轻轻松鬆

捨去,舍去
四捨五入,四舍五入

優良,优良
優質,优質
優质,优质

聯繫,聯系
联繫,联系

輪廻,輪迴
轮廻,轮迴

采用,采用
採收,采收
採取,采取

採訪,采訪
採購,采購

採访,采访
採购,采购

開採,開采

乾渴,干渴
乾枯,干枯




